TIME;;2019-01;;2019-02;;2019-03;;2019-04;;2019-05;;2019-06;;2019-07;;2019-08;;2019-09;;2019-10;;2019-11;;2019-12;;2020-01;;2020-02;;2020-03;;2020-04;;2020-05;;2020-06;;2020-07;;2020-08;;2020-09;;2020-10;;2020-11;;2020-12;;2021-01;;2021-02;;2021-03;;2021-04;;2021-05;;2021-06;;2021-07;;2021-08;;2021-09;;2021-10;;2021-11;;2021-12;;2022-01;;2022-02;;2022-03;;2022-04;;2022-05;;2022-06;;2022-07;;2022-08;;2022-09;;2022-10;;2022-11;;2022-12
Austria;;2 295 605;;2 362 496;;2 884 515;;2 993 159;;3 050 436;;3 332 670;;3 523 579;;3 529 949;;3 320 406;;3 108 277;;2 601 383;;2 809 314;;2 566 227;;2 538 497;;1 008 837;;12 978;;21 487;;141 721;;614 429;;857 929;;607 284;;407 374;;186 100;;236 402;;205 768;;163 091;;221 255;;276 338;;408 858;;761 455;;1 597 590;;1 932 074;;1 716 853;;1 680 413;;1 188 653;;1 035 052;;1 020 525;;1 155 986;;1 561 654;;1 977 256;;2 317 536;;2 654 101;;3 042 407;;3 039 414;;2 895 844;;2 621 954;;2 031 481;;2 199 746
Poland;;2 872 995;;2 827 246;;3 210 970;;3 601 320;;4 172 215;;4 648 311;;4 991 974;;5 050 195;;4 736 514;;4 072 476;;3 398 811;;3 377 614;;3 243 373;;3 110 797;;1 209 699;;16 962;;10 555;;86 142;;1 222 945;;1 863 299;;1 406 953;;836 962;;359 060;;484 423;;367 529;;261 807;;357 901;;431 413;;707 792;;1 551 462;;2 775 774;;3 211 572;;2 819 072;;2 459 229;;2 040 673;;1 988 347;;1 622 563;;1 710 885;;2 151 440;;2 770 479;;3 468 217;;4 248 526;;4 736 602;;4 696 865;;4 353 210;;3 814 387;;2 876 446;;2 973 848
Portugal;;3 128 777;;3 056 324;;3 867 662;;4 841 056;;5 097 408;;5 369 412;;5 777 651;;5 891 186;;5 450 568;;4 993 041;;3 627 775;;3 591 878;;3 374 669;;3 396 227;;1 809 785;;30 370;;74 764;;278 670;;1 151 195;;1 932 736;;1 630 036;;1 232 376;;608 693;;876 789;;663 724;;205 498;;331 313;;587 729;;1 072 125;;1 688 082;;2 398 004;;3 376 215;;3 191 538;;3 570 781;;2 823 895;;2 395 259;;1 911 701;;2 350 257;;3 261 556;;4 466 980;;4 843 993;;5 150 036;;5 615 745;;5 686 604;;5 339 537;;5 166 178;;3 724 402;;3 713 050
Romania;;1 442 533;;1 353 469;;1 520 273;;1 711 567;;1 870 439;;1 995 111;;2 197 373;;2 281 900;;2 095 866;;1 885 630;;1 604 925;;1 626 993;;1 536 627;;1 383 312;;631 508;;45 453;;45 705;;116 243;;574 072;;692 838;;630 141;;428 334;;222 861;;319 358;;324 869;;227 141;;277 222;;424 605;;562 127;;925 310;;1 486 226;;1 704 240;;1 482 069;;1 129 576;;845 117;;1 032 038;;863 690;;790 577;;1 222 689;;1 709 797;;1 788 152;;1 957 951;;2 150 804;;2 274 338;;1 894 622;;1 817 732;;1 515 116;;1 570 977
Slovenia;;103 134;;105 773;;133 875;;157 992;;169 818;;189 023;;206 772;;211 595;;171 981;;99 229;;85 786;;85 513;;75 472;;79 776;;36 094;;190;;111;;4 991;;20 992;;28 024;;21 686;;10 775;;4 254;;5 422;;4 923;;5 534;;7 907;;8 733;;14 676;;27 756;;65 050;;72 391;;64 859;;57 014;;45 241;;45 262;;37 379;;37 761;;50 839;;69 385;;84 854;;102 230;;124 548;;122 647;;118 787;;93 020;;66 843;;60 518
Slovakia;;151 575;;147 463;;170 383;;189 262;;206 473;;298 105;;427 412;;419 830;;312 180;;197 654;;156 815;;169 963;;149 335;;143 199;;45 782;;1 492;;838;;2 817;;22 049;;64 664;;36 450;;15 433;;5 508;;14 183;;11 218;;4 857;;5 237;;4 469;;7 391;;42 922;;126 863;;153 769;;93 177;;72 771;;63 498;;60 473;;48 037;;58 917;;84 620;;122 781;;139 113;;234 005;;352 083;;348 026;;229 129;;136 551;;94 396;;99 033
Finland;;1 698 786;;1 663 904;;1 876 279;;1 892 389;;2 041 991;;2 150 292;;2 182 733;;2 116 555;;2 038 245;;2 027 089;;1 683 356;;1 966 635;;1 746 446;;1 643 248;;814 110;;22 409;;37 742;;84 714;;229 007;;286 423;;172 152;;157 305;;131 081;;152 974;;137 893;;120 088;;124 898;;121 042;;130 379;;213 345;;369 659;;457 776;;493 245;;680 016;;728 549;;1 021 348;;697 033;;696 082;;898 113;;992 886;;1 189 296;;1 352 895;;1 455 589;;1 323 963;;1 338 977;;1 328 380;;1 136 994;;1 452 166
Sweden;;2 589 665;;2 535 022;;2 959 884;;3 083 833;;3 419 589;;3 721 969;;3 746 489;;3 599 436;;3 483 222;;3 308 859;;2 731 251;;2 661 690;;2 488 613;;2 436 939;;1 193 832;;54 135;;72 721;;160 192;;436 349;;592 690;;568 376;;654 308;;349 194;;377 491;;313 632;;228 982;;290 684;;319 854;;394 607;;710 436;;1 363 447;;1 430 548;;1 338 474;;1 550 798;;1 508 150;;1 405 823;;1 017 524;;1 045 888;;1 549 905;;2 036 437;;2 392 325;;2 645 508;;2 710 310;;2 647 946;;2 565 449;;2 459 981;;2 067 714;;2 036 451
Iceland;;558 501;;534 004;;614 289;;499 922;;610 886;;817 430;;877 908;;876 594;;675 930;;583 394;;461 619;;473 943;;395 378;;414 840;;231 406;;5 358;;11 202;;44 686;;151 617;;151 280;;43 339;;27 463;;18 137;;36 517;;35 575;;27 488;;35 745;;33 232;;66 882;;163 159;;378 906;;442 728;;352 064;;354 435;;271 670;;276 696;;204 063;;251 661;;328 918;;415 406;;518 984;;725 348;;891 399;;879 411;;686 197;;632 859;;471 536;;458 339
Norway;;2 757 274;;2 828 733;;3 275 740;;3 201 739;;3 493 716;;3 969 783;;4 151 274;;3 844 498;;3 766 541;;3 680 434;;3 028 557;;2 850 410;;2 783 999;;2 861 332;;1 422 203;;214 992;;333 018;;614 160;;1 172 693;;1 135 659;;929 604;;929 652;;530 018;;664 297;;496 410;;411 129;;520 440;;484 294;;623 333;;914 993;;1 537 713;;1 648 954;;1 862 205;;2 362 571;;2 110 701;;1 686 769;;1 297 210;;1 568 998;;2 281 807;;2 731 336;;3 076 600;;3 514 424;;3 470 000;;3 470 424;;3 336 591;;3 348 939;;2 628 150;;2 479 249
Switzerland;;3 996 431;;3 963 075;;4 716 070;;4 953 667;;4 857 528;;5 167 767;;5 628 727;;5 592 219;;5 115 171;;5 106 899;;3 838 299;;4 332 063;;4 081 886;;3 973 871;;1 793 035;;30 701;;56 493;;277 594;;1 279 181;;1 622 932;;1 044 832;;840 382;;390 083;;650 807;;537 820;;346 778;;407 290;;594 156;;785 776;;1 131 106;;2 586 723;;3 081 678;;2 574 897;;3 025 442;;2 077 713;;2 023 357;;1 764 371;;2 203 078;;2 893 106;;3 568 219;;3 629 322;;3 962 828;;4 607 546;;4 578 204;;4 195 162;;4 354 573;;3 104 402;;3 663 634
Montenegro;;83 825;;75 255;;97 252;;145 992;;213 117;;354 638;;442 740;;468 752;;371 511;;189 806;;106 375;;103 538;;97 942;;89 321;;40 957;;1 873;;1 142;;6 195;;39 443;;79 242;;85 283;;36 489;;21 821;;22 251;;21 917;;21 782;;21 943;;29 285;;52 007;;139 293;;272 736;;313 459;;211 380;;97 198;;66 238;;62 028;;49 751;;51 440;;68 803;;120 434;;163 452;;222 663;;301 747;;315 456;;239 545;;169 674;;103 002;;102 585
North Macedonia;;152 125;;137 664;;164 318;;194 181;;194 449;;214 085;;241 567;;263 652;;231 959;;212 746;;170 261;;176 320;;163 967;;147 533;;71 617;;1 853;;849;;36;;57 160;;67 007;;54 805;;53 771;;43 784;;46 859;;54 141;;45 169;;49 110;;48 896;;72 178;;104 395;;192 328;;207 659;;132 172;;134 664;;102 160;;123 358;;112 735;;88 859;;126 258;;151 035;;169 034;;213 029;;259 795;;266 617;;235 054;;198 350;;148 050;;166 172
Serbia;;372 364;;339 272;;398 590;;496 653;;537 239;;631 590;;803 868;;856 605;;735 402;;605 422;;465 878;;464 334;;442 925;;395 690;;179 778;;5 894;;10 162;;78 531;;125 379;;176 727;;207 386;;208 320;;3 815;;103 909;;101 988;;88 860;;98 021;;134 434;;197 415;;323 715;;562 193;;607 458;;419 966;;320 674;;269 934;;286 875;;254 771;;224 065;;314 194;;422 831;;501 304;;576 388;;758 198;;764 004;;643 321;;555 300;;468 902;;508 222
Turkiye;;9 842 499;;9 015 229;;10 466 053;;11 829 167;;13 239 077;;15 973 184;;17 988 864;;18 778 460;;16 565 344;;15 136 856;;10 565 250;;9 756 967;;10 082 847;;8 897 292;;4 941 387;;70 309;;54 154;;1 570 213;;3 914 518;;6 668 029;;6 897 273;;6 297 590;;4 085 754;;3 397 676;;3 537 304;;3 526 604;;4 765 989;;4 318 377;;3 980 976;;7 564 030;;12 786 721;;13 842 868;;12 057 730;;12 148 431;;8 093 777;;7 466 199;;6 760 088;;6 787 277;;8 114 823;;9 001 975;;12 242 898;;14 488 866;;17 355 395;;17 872 832;;15 816 994;;14 445 423;;10 358 638;;9 878 481
